Категория,Наименование,Артикул (номер в каталоге),Модели машин,Цвет,Ед. измерения,Цена оптовая,Цена закупочная,Цена для сервисов,Цена для розницы,Профит с сервисов,Профит с розницы
Арки заднего колеса,Арка заднего колеса внутренняя в сборе со стаканом левая,,2101 2105 2106,,щт,550,594,600,650,6,56
Арки заднего колеса,Арка заднего колеса внутренняя в сборе со стаканом правая,,2101 2105 2106,,шт,550,594,600,650,6,56
Арки заднего колеса,Арка заднего колеса внутренняя левая ,5100051,2101 2105 2106,,шт.,340,367.2,400,450,32.8,82.8
Арки заднего колеса,Арка заднего колеса внутренняя правая ,5100050,2101 2105 2106,,шт.,340,367.2,400,450,32.8,82.8
Арки заднего колеса,Арка заднего колеса наружняя левая ,5401175,2101 2105 2106,,шт.,90,97.2,100,150,2.8,52.8
Арки заднего колеса,Арка заднего колеса наружняя правая,5401174,2101 2105 2106,,шт.,90,97.2,100,150,2.8,52.8
Арки заднего колеса,Арка заднего колеса внутренняя в сборе со стаканом левая,,2101 2105 2106,,шт.,250,270,300,350,30,80
Арки заднего колеса,Арка заднего колеса внутренняя правая ,5101238,2104,,шт.,300,324,350,400,26,76
Арки заднего колеса,Арка заднего колеса внутренняя левая ,5101239,2104,,шт.,300,324,350,400,26,76
Арки заднего колеса,Арка заднего колеса наружняя левая ,5401175,2104,,шт.,160,172.8,180,200,7.19999999999999,27.2
Арки заднего колеса,Арка заднего колеса наружняя правая ,5401174,2104,,шт.,160,172.8,180,200,7.19999999999999,27.2
Арки заднего колеса,Арка заднего колеса внутренняя левая ,5101241,2108,,шт.,490,529.2,550,600,20.8,70.8
Арки заднего колеса,Арка заднего колеса внутренняя правая ,5101240,2108,,шт.,510,550.8,550,600,-0.799999999999954,49.2
Арки заднего колеса,Арка заднего колеса наружняя левая ,5401175-88,2108,,шт.,180,194.4,220,250,25.6,55.6
Арки заднего колеса,Арка заднего колеса наружняя правая ,5401174-88,2108,,шт.,180,194.4,220,250,25.6,55.6
Арки заднего колеса,Арка заднего колеса внутренняя левая ,5101241,2110,,шт.,420,453.6,450,500,-3.60000000000002,46.4
Арки заднего колеса,Арка заднего колеса внутренняя правая ,5101240,2110,,шт.,400,432,450,500,18,68
Арки заднего колеса,Арка заднего колеса наружняя левая,5401175,2110,,шт.,600,648,650,700,2,52
Арки заднего колеса,Арка заднего колеса наружняя правая,5401174,2110,,шт.,400,432,450,500,18,68
Арки заднего колеса,Арка заднего колеса внутренняя левая ,5101241,2111,,шт,400,432,450,500,18,68
Арки заднего колеса,Арка заднего колеса внутренняя правая ,5101240,2111,,шт,400,432,450,500,18,68
Арки заднего колеса,Арка заднего колеса наружняя левая ,5401175,2111,,шт.,270,291.6,300,350,8.39999999999998,58.4
Арки заднего колеса,Арка заднего колеса внутренняя левая ,5101241,2121,,шт,320,345.6,350,400,4.39999999999998,54.4
Арки заднего колеса,Арка заднего колеса внутренняя правая ,5101240,2121,,шт.,320,345.6,350,400,4.39999999999998,54.4
Арки заднего колеса,Арка заднего колеса наружняя левая ,5401175,2121,,шт.,250,270,300,350,30,80
Арки заднего колеса,Арка заднего колеса наружняя правая ,5401174,2121,,шт.,250,270,300,350,30,80
Балки бамперов,Балка бампера задняя ,2804142,1118,,шт,400,432,450,500,18,68
Балки бамперов,Балка бампера передняя ,2803132,1118,,шт,450,486,500,550,14,64
Балки бамперов,Балка бампера задняя (АН),,2105,,шт.,410,442.8,450,500,7.19999999999999,57.2
Балки бамперов,Балка бампера задняя (ЭМ),,2105,,шт.,410,442.8,450,500,7.19999999999999,57.2
Балки бамперов,Балка бампера передняя (АН),,2105,,шт.,410,442.8,450,500,7.19999999999999,57.2
Балки бамперов,Балка бампера передняя (ЭМ),,2105,,шт.,410,442.8,450,500,7.19999999999999,57.2
Балки бамперов,Балка бампера задняя (Сызрань) ,2804012,2106,,шт.,450,486,500,550,14,64
Балки бамперов,Балка бампера передняя (Сызрань) ,2803012,2106,,шт.,450,486,500,550,14,64
Балки бамперов,Балка бампера (АЛ) ,2803132,2108,,шт.,200,216,220,250,4,34
Балки бамперов,Балка бампера (сталь),,2108,,шт.,100,108,130,150,22,42
Балки бамперов,Балка бампера задняя ,2804142,2113 2114,,шт,520,561.6,600,650,38.4,88.4
Балки бамперов, Балка бампера передняя,2803130,2113 2114,,шт,380,410.4,450,500,39.6,89.6
Балки бамперов,Балка бампера (АЛ) ,2803132,2115,,шт.,200,216,220,250,4,34
Балки бамперов,Балка бампера (сталь),,2115,,шт,100,108,130,150,22,42
Балки бамперов,Балка бампера задняя нового образца (Сызрань),2804226-27,2115,,комп,170,183.6,200,250,16.4,66.4
Балки бамперов,Балка бампера задняя нового образца (Тольятти)(цельная),,2115,,шт,500,540,550,600,10,60
Балки бамперов,Балка бампера задняя (ЭМАЛЬ) ,2804014-02,2121,,шт.,600,648,650,700,2,52
